Nome,Tipo Evento,Data,Horário Abertura,Classificação,Local,Cidade,URL Dados
 Feeling Floripa - Domingo,Baladas, 16/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59989/feeling-floripa-domingo
 Seu Antônio,Baladas, 16/06/2024, 12:00, 18 anos,Seu Antônio , Florianópolis,https://www.pensanoevento.com.br/baladas/61731/seu-antonio
 Nossa Vibe 360,Baladas, 16/06/2024, 16:00, 18 anos,Bunker 22 , Florianópolis,https://www.pensanoevento.com.br/baladas/62361/nossa-vibe-360
 Domingo - Boteco 360,Baladas, 16/06/2024, 20:00, 18 anos,Boteco Quintino , Florianópolis,https://www.pensanoevento.com.br/baladas/61882/domingo-boteco-360
 Domingo,Baladas, 16/06/2024, 20:30, 18 anos,Mister Chopp , Florianópolis,https://www.pensanoevento.com.br/baladas/55867/domingo
 FERNANDO PEDROSA - XAVECA A PLATÉIA E BEBE VINHO - SESSÃO EXTRA - 23h,Eventos, 16/06/2024, 22:00, 18 anos,Floripa Comedy Club , Florianópolis,https://www.pensanoevento.com.br/eventos/61401/fernando-pedrosa-xaveca-a-plateia-e-bebe-vinho-sessao-extra-23h
 PAGODEIRA - Tentação + DJ Andrei Ventura,Baladas, 16/06/2024, 22:00, 18 anos,O Fulano Floripa ," Estreito, Florianópolis ",https://www.pensanoevento.com.br/baladas/60251/pagodeira-tentacao-dj-andrei-ventura
 Feeling Floripa - Segunda-feira,Baladas, 17/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59702/feeling-floripa-segunda-feira
 Los Troncos Parrilla Uruguaya - Terça-feira,Gastronomia, 18/06/2024, 11:30, Livre,Los Troncos Parrilla Uruguaya , Florianópolis,https://www.pensanoevento.com.br/eventos/62653/los-troncos-parrilla-uruguaya-terca-feira
 Feeling Floripa - Terça-feira,Baladas, 18/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59750/feeling-floripa-terca-feira
 Ferro SC - Terça,Gastronomia, 18/06/2024, 18:00, Livre,Ferro SC , Florianópolis,https://www.pensanoevento.com.br/eventos/62238/ferro-sc-terca
 Terça,Eventos, 18/06/2024, 18:00, Livre,Por Dios | Tapas Y Bodega , Florianópolis,https://www.pensanoevento.com.br/eventos/62263/terca
" BABU CARREIRA - SOLTEIRA SIM, SOZINHA TAMBÉM - 21h",Eventos, 18/06/2024, 19:00, 18 anos,Floripa Comedy Club , Florianópolis,https://www.pensanoevento.com.br/eventos/61708/babu-carreira-solteira-sim-sozinha-tambem-21h
 Tanoa Praia,Eventos, 19/06/2024, 11:00, Livre,Tanoa Praia , Florianópolis,https://www.pensanoevento.com.br/eventos/63188/tanoa-praia
 Los Troncos Parrilla Uruguaya - Quarta-feira,Gastronomia, 19/06/2024, 11:30, Livre,Los Troncos Parrilla Uruguaya , Florianópolis,https://www.pensanoevento.com.br/eventos/62660/los-troncos-parrilla-uruguaya-quarta-feira
 Feeling Floripa - Quarta-feira,Baladas, 19/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59798/feeling-floripa-quarta-feira
 Quarta,Eventos, 19/06/2024, 18:00, Livre,Por Dios | Tapas Y Bodega , Florianópolis,https://www.pensanoevento.com.br/eventos/62267/quarta
 Ferro SC - Quarta,Gastronomia, 19/06/2024, 18:00, Livre,Ferro SC , Florianópolis,https://www.pensanoevento.com.br/eventos/62241/ferro-sc-quarta
 ERINALDO NOBRE - VENDENDO MINHAS REDES - 21h,Eventos, 19/06/2024, 19:00, 18 anos,Floripa Comedy Club , Florianópolis,https://www.pensanoevento.com.br/eventos/61543/erinaldo-nobre-vendendo-minhas-redes-21h
 Drag Battle 4 - Brasilidades Anos 80,Baladas, 19/06/2024, 20:00, 18 anos,OPIUM , Florianópolis,https://www.pensanoevento.com.br/baladas/63187/drag-battle-4-brasilidades-anos-80
 Quarta-feira,Baladas, 19/06/2024, 20:30, 18 anos,Mister Chopp , Florianópolis,https://www.pensanoevento.com.br/baladas/55894/quarta-feira
 TROPA DO 01 - DJ Grecco + DJ Molck + DJ Leozin da SF + DJ Andrei Ventura,Baladas, 19/06/2024, 22:00, 18 anos,O Fulano Floripa ," Estreito, Florianópolis ",https://www.pensanoevento.com.br/baladas/60228/tropa-do-01-dj-grecco-dj-molck-dj-leozin-da-sf-dj-andrei-ventura
 Tanoa Praia,Eventos, 20/06/2024, 11:00, Livre,Tanoa Praia , Florianópolis,https://www.pensanoevento.com.br/eventos/63189/tanoa-praia
 Los Troncos Parrilla Uruguaya - Quinta-feira,Gastronomia, 20/06/2024, 11:30, Livre,Los Troncos Parrilla Uruguaya , Florianópolis,https://www.pensanoevento.com.br/eventos/62664/los-troncos-parrilla-uruguaya-quinta-feira
 Feeling Floripa - Quinta-feira,Baladas, 20/06/2024, 12:00, 12 anos,Feeling Lounge , Florianópolis,https://www.pensanoevento.com.br/baladas/59846/feeling-floripa-quinta-feira
 Quinta,Eventos, 20/06/2024, 18:00, Livre,Por Dios | Tapas Y Bodega , Florianópolis,https://www.pensanoevento.com.br/eventos/62271/quinta
 Ferro SC - Quinta,Gastronomia, 20/06/2024, 18:00, Livre,Ferro SC , Florianópolis,https://www.pensanoevento.com.br/eventos/62245/ferro-sc-quinta
 Lusco Fusco Duo Brasilidades,Eventos, 20/06/2024, 18:00, Livre,Boteco Zé Mané , Florianópolis,https://www.pensanoevento.com.br/eventos/63014/lusco-fusco-duo-brasilidades
 O MENINO DO RH - EM EXPERIÊNCIA - 21h,Eventos, 20/06/2024, 19:00, 18 anos,Floripa Comedy Club , Florianópolis,https://www.pensanoevento.com.br/eventos/59657/o-menino-do-rh-em-experiencia-21h
 Flora Cruz,Shows, 20/06/2024, 20:00, 18 anos,Delfino 146 , Florianópolis,https://www.pensanoevento.com.br/shows/61790/flora-cruz
 Burla! Burla!,Baladas, 20/06/2024, 20:00, 18 anos,OPIUM , Florianópolis,https://www.pensanoevento.com.br/baladas/63140/burla-burla
 Quinta-feira,Baladas, 20/06/2024, 20:30, 18 anos,Mister Chopp , Florianópolis,https://www.pensanoevento.com.br/baladas/55918/quinta-feira
 Quinta Fire |,Baladas, 20/06/2024, 21:00, 18 anos,Bar do Espartano , Florianópolis,https://www.pensanoevento.com.br/baladas/63055/quinta-fire
 Quarteto Vermelho e Branco - Samba + Rodrigo Real e Banda,Shows, 20/06/2024, 21:30, 18 anos,Franz Cabaret , Florianópolis,https://www.pensanoevento.com.br/shows/62618/quarteto-vermelho-e-branco-samba-rodrigo-real-e-banda
 Terrazzo Onze,Baladas, 20/06/2024, 22:00, 18 anos,Terrazzo Onze , Florianópolis,https://www.pensanoevento.com.br/baladas/57852/terrazzo-onze
 Quinta Deu Samba,Baladas, 20/06/2024 à 22/07/2024, 22:00, 18 anos,7Barra7 Music Bar , Florianópolis,https://www.pensanoevento.com.br/baladas/62228/quinta-deu-samba
